City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Luba,GQ,2021-09-27 00:59:33,3.4568,8.5547,75.09,86,100,3.58
122,Lobito,AO,2021-09-27 00:59:34,-12.3481,13.5456,69.42,83,0,5.77
123,Sao Filipe,CV,2021-09-27 00:59:03,14.8961,-24.4956,78.58,80,87,5.23
124,Cape Town,ZA,2021-09-27 00:59:35,-33.9258,18.4232,60.28,76,0,1.99
125,Nanortalik,GL,2021-09-27 00:57:10,60.1432,-45.2371,37.08,80,7,1.92
126,Bambous Virieux,MU,2021-09-27 00:55:15,-20.3428,57.7575,70.05,88,75,19.57
127,Dunedin,NZ,2021-09-27 00:56:10,-45.8742,170.5036,49.01,53,43,10.42
128,Padang,ID,2021-09-27 00:59:36,-0.9492,100.3543,75.25,88,100,3.67
129,San Ignacio,BZ,2021-09-27 00:59:36,17.1561,-89.0714,75.34,94,0,4.61
130,Tual,ID,2021-09-27 00:59:37,-5.6667,132.75,80.74,81,93,11.63
131,Ahipara,NZ,2021-09-27 00:59:37,-35.1667,173.1667,57.04,62,100,11.05
132,Cherskiy,RU,2021-09-27 00:59:38,68.75,161.3,29.57,97,100,23.22
